"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2011","WATL","Q2","'9+",0.43582035986565,0.0261993270161596,76
"2012","WATL","Q2","'9+",0.465966055179495,0.0415729826960249,14
"2015","WATL","Q2","'9+",0.457027610600919,0.0399455690816529,17
"2013","WATL","Q2","'9+",0.467482527218569,0.0367671961045993,23
"2016","WATL","Q2","'9+",0.452908270989161,0.0430508132318979,9
"2018","WATL","Q2","'9+",0.534667951109352,0.0418201019458983,10
"2019","WATL","Q2","'9+",0.519296306785395,0.0302748743777657,52
"2014","WATL","Q2","'9+",0.47229199759049,0.0282031253763085,66
"2017","WATL","Q2","'9+",0.566319203988056,0.0406319461859906,14
"2010","GOM","Q2","'9+",0.844019761838504,0.0241683251986652,26
"2011","GOM","Q2","'9+",0.823128925360355,0.0428901054617072,4
"2012","GOM","Q2","'9+",0.801430723061868,0.0357368435813206,13
"2013","GOM","Q2","'9+",0.818677905635799,0.0289914550219812,20
"2014","GOM","Q2","'9+",0.831708085756446,0.0275710234906688,24
"2012","EATL","Q1","'0-4",0.217903540602416,0.0451808420643031,1
"2011","WATL","Q1","'0-4",0.369747381333756,0.0617587461762374,3
"2015","EATL","Q1","'5-8",0.239744834776833,0.0657689628465401,1
"2013","EATL","Q1","'5-8",0.31865351807001,0.0614833983508504,1
"2018","EATL","Q1","'5-8",0.21248775879759,0.0619287843550267,1
"2019","EATL","Q1","'5-8",0.200652461795041,0.0599504708286212,1
"2011","WATL","Q1","'5-8",0.439940279090906,0.0532304618322814,2
"2015","EATL","Q1","'9+",0.247359740689988,0.0501143093618955,22
"2013","EATL","Q1","'9+",0.408584024734338,0.0690187168987921,21
"2016","EATL","Q1","'9+",0.233953379956207,0.0481342292000112,43
"2018","EATL","Q1","'9+",0.224528899478913,0.0449361103479797,32
"2019","EATL","Q1","'9+",0.201731828143478,0.0452129454331186,25
"2021","EATL","Q1","'9+",0.239253091676538,0.0466335687030368,14
"2014","EATL","Q1","'9+",0.289714266469475,0.056451136796787,38
"2011","WATL","Q1","'9+",0.498374199295792,0.0545381934749005,1
"2012","WATL","Q1","'9+",0.507567148556683,0.0584720705683006,1
"2010","GOM","Q1","'9+",0.852810577454443,0.0278272851768977,11
"2012","GOM","Q1","'9+",0.829097933699706,0.0372017238082028,3
"2013","GOM","Q1","'9+",0.841157647297491,0.0320268822220295,5
"2014","GOM","Q1","'9+",0.850755231750004,0.034015296300882,1
